TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
META DESCRIPTION,"In June 2016, China national standards for infants and children's textile products, GB 31701-2015 will become mandatory. The standard specifies several safety requirements. Learn more here.",2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-textiles
https://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-textiles"
META DESCRIPTION,"In March, 2015, the Consumer Affairs Agency in Japan adopts the care label system in standard JIS L 0001 (2014). This standard will replace the current system in JIS L 0217 (1995) under the Household Products Quality Labelling Law as of December 1, 2016.",2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/japan-textile-labels
https://www.asiainspection.com/regulatory-updates/March-2016/japan-textile-labels"
META DESCRIPTION,"In US, when hazards are identified in consumer products, they will be recalled and published in the Consumer Product Safety Commission (CPSC) Recent Recalls. View a summary of recent recalls from January 1 to April 30, 2016 here.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/us-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2016/us-recalls-summary"
META DESCRIPTION,"In early 2017, there are a number of State issued bills related to chemical restrictions or labeling requirements. They are summarized below:",2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-states-bills-summary
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-states-bills-summary"
META DESCRIPTION,"In early 2017, there were a number of State issued bills related to chemical restriction requirements. They are summarized below:",2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-state-bills-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-state-bills-summary"
META DESCRIPTION,"In the US, when hazards are identified in consumer products, they will be recalled and published in the Consumer Product Safety Commission (CPSC) Recent Recalls on the CPSC website, which is updated daily. The US recalls from January 1 to February 28, 2017 are summarized below:",2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-recalls-summary
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-recalls-summary"
META DESCRIPTION,"In the US, when hazards are identified in consumer products, they will be recalled and published in the Consumer Product Safety Commission (CPSC) Recent Recalls on the CPSC website, which is updated daily. The US recalls from March 1 to April 30, 2017 are summarized below:",2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-us-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-us-recalls-summary"
META DESCRIPTION,Learn how a Madrid-based importer implemented a detailed quality control program to protect their brand against poor-quality seafood in this whitepaper.,2,"#
https://www.asiainspection.com/whitepaper/reduce-supply-chain-risk
http://www.asiainspection.com/whitepaper/reduce-supply-chain-risk"
META DESCRIPTION,Learn how hasty decisions made during product development impact consumer safety in this whitepaper about speed to market from AsiaInspection.,2,"#
http://www.asiainspection.com/whitepaper/speed-to-market-and-consumer-safety
https://www.asiainspection.com/whitepaper/speed-to-market-and-consumer-safety"
META DESCRIPTION,Manufacturing audit reports give you valuable insight into suppliers before you work with them. View this manufacturing audit report sample and learn more about our manufacturing audits here.,2,"#
https://www.asiainspection.com/samplereport/manufacturing-audit-report
http://www.asiainspection.com/samplereport/manufacturing-audit-report"
META DESCRIPTION,"On April 1, 2016, the Office of Environmental Health Hazard Assessment (OEHHA) issued a notice to propose temporary use of a standard point-of-sale warning message for Bisphenol A (BPA) for canned and bottled foods and beverages. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/california-bpa
http://www.asiainspection.com/regulatory-updates/April-2016/california-bpa"
META DESCRIPTION,"On April 15, 2016, the General Administration of Quality Supervision, Inspection and Quarantine of the People's Republic of China (AQSIQ) issued Notice 38/2016 to announce the 2016 supervision and inspection plan on imported and exported goods.",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-supervision-import-export
https://www.asiainspection.com/regulatory-updates/May-2016/china-supervision-import-export"
META DESCRIPTION,"On April 18, 2016, the Ministry of Health and Welfare (MOHW) published Notice 1041304938 to establish additional labeling requirements for food utensils, containers or packaging. Learn more here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/taiwan-food-contact
https://www.asiainspection.com/regulatory-updates/June-2016/taiwan-food-contact"
META DESCRIPTION,"On April 18, 2016, the new Product Safety Standards (Children's Nightwear and Limited Daywear Having Reduced Fire Hazard) Regulation 2016 enters into force. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/nz-children-nightwear
http://www.asiainspection.com/regulatory-updates/April-2016/nz-children-nightwear"
META DESCRIPTION,"On April 19, 2016, Mexico Official Journal of the Federation (DOF) published a draft standard, NOM-203-SCFI-2015, to establish the maximum permissible emission limit and content limit for formaldehyde in wood particle board and wood fiberboard. See the details here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/mexico-fiberboard
https://www.asiainspection.com/regulatory-updates/June-2016/mexico-fiberboard"
META DESCRIPTION,"On April 19, 2016, The Office of Environmental Health Hazard Assessment (OEHHA) issued the Supplemental Finding of Emergency for Notice proposing a warning for exposures to bisphenol A (BPA) from canned and bottled foods and beverages. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/california-bottled-foods-and-beverages
http://www.asiainspection.com/regulatory-updates/May-2016/california-bottled-foods-and-beverages"
META DESCRIPTION,"On April 20, 2016, the Ministry of Industry and Information Technology of the People's Republic of China (MIIT) issued Notice 17/2016 to publish an updated product standard list for different industries including textile and light industry. There are total 587 standards included on the list.",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-updated-standards-textile
https://www.asiainspection.com/regulatory-updates/May-2016/china-updated-standards-textile"
META DESCRIPTION,"On April 22, 2016 Office of Environmental Health Hazard Assessment (OEHHA) issued an updated Proposition 65 List adding a new chemical, Styrene (Chemical Abstract Service (CAS) Registry Number: 100-42-5). Read more here.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/california-oehha-updates
http://www.asiainspection.com/regulatory-updates/May-2016/california-oehha-updates"
META DESCRIPTION,"On April 22, 2017, Health Canada (HC) proposed an updated Playpens Regulations through the Canada Gazette. The regulation has not been updated since the last major amendment made in 1991. However, safety concerns on product designs including accessories, such as sleep and changing table accessories, have been identified in recent recalls resulting in injuries and deaths. Therefore, an update of the regulation with major modifications based on the incidents was proposed.",2,"#
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-playpen-regulations
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-playpen-regulations"
META DESCRIPTION,"On April 23, 2015, Regulation (EU) 2015/628 was published to expand the scope of lead restriction under Regulation (EC) No. 1907/2006 (REACH). The expanded part applies to product placed on the market after June 1, 2016. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/lead-restrictions
http://www.asiainspection.com/regulatory-updates/June-2016/lead-restrictions"
